id,year,journal,title,doi,url,category,relation,type,mechanism,example,boundary
C1,2019,Nature Communications,Bifurcation-based embodied logic and autonomous actuation,10.1038/s41467-018-08055-3,https://doi.org/10.1038/s41467-018-08055-3,控制与机器人集成,A：直接计算/记忆/反馈,研究论文,刺激响应材料与结构分岔把环境输入转换成阈值判断及动作。,溶剂响应结构、逻辑操作与自主致动演示。,响应依赖刺激条件；级联中外部输入的组织方式需要纳入控制边界。
C2,2023,Science Advances,"A modular strategy for distributed, embodied control of electronics-free soft robots",10.1126/sciadv.ade9247,https://doi.org/10.1126/sciadv.ade9247,控制与机器人集成,A：直接计算/记忆/反馈,研究论文,以模块化响应结构分布式承担感知、反馈和动作选择。,无电子控制的软体机器人，利用材料响应与局部物理反馈产生行为。,无电子控制不表示无外部能量；需进一步比较复杂任务与环境迁移能力。
C3,2023,Nature Communications,"Origami-based integration of robots that sense, decide, and respond",10.1038/s41467-023-37158-9,https://doi.org/10.1038/s41467-023-37158-9,控制与机器人集成,A：直接计算/记忆/反馈,研究论文,折纸双稳态结构、导电连接和电热驱动器集成逻辑、记忆及运动。,OrigaMechs：捕捉活体猎物的捕蝇装置、避障爬行机器人与沿预设轨迹运动的小车。,没有半导体控制器仍可使用电信号和电能；不是完全被动系统。
C4,2024,Nature Communications,Integrated mechanical computing for autonomous soft machines,10.1038/s41467-024-47201-y,https://doi.org/10.1038/s41467-024-47201-y,控制与机器人集成,A：直接计算/记忆/反馈,研究论文,双稳态跃迁与孤立波传播形成可级联机械逻辑，并匹配传播能垒。,仿含羞草结构依据刺激强度产生折叠响应。,依赖输入及结构储能，计算级联不等于无限持续自主运行。
C5,2024,Science Advances,Pneumatic coding blocks enable programmability of electronics-free fluidic soft robots,10.1126/sciadv.adr2433,https://doi.org/10.1126/sciadv.adr2433,控制与机器人集成,A：直接计算/记忆/反馈,研究论文,气动模块实现条件分支、顺序执行和循环，把程序结构映射为物理连接。,if、if-break、for 等模块与交互式软体夹爪。,外部气源和程序装配成本仍存在；可编程控制不自动等于学习。
C6,2025,Science Advances,Soft multifunctional bistable fabric mechanism for electronics-free autonomous robots,10.1126/sciadv.ads8734,https://doi.org/10.1126/sciadv.ads8734,控制与机器人集成,A：直接计算/记忆/反馈,研究论文,双腔织物屈曲与管路弯折 配合，将阀、双稳态切换与致动结合。,恒压供气下的振荡、抓取、爬行和跳跃演示。,持续供气是系统组成部分；需要检验负载与摩擦变化下的稳定性。
C7,2025,Science Advances,Encoding mechanical intelligence using ultraprogrammable joints,10.1126/sciadv.adv2052,https://doi.org/10.1126/sciadv.adv2052,控制与机器人集成,B：形态促进感知/控制,研究论文,弹性滚动凸轮关节通过几何设计编码转动刚度曲线，实现机械反馈和形态适应。,被动膝关节支持开环双足行走；双稳态肘关节用于变形无人机。,大规模曲线设计验证不等于同数量实体试验；非线性曲线类比神经元不等于训练神经网络。
C8,2025,Nature Communications,Spatially programmable origami networks enable high-density mechanical computing for autonomous robotics,10.1038/s41467-025-64956-0,https://doi.org/10.1038/s41467-025-64956-0,控制与机器人集成,A：直接计算/记忆/反馈,研究论文,折纸开关与导电网络重配置逻辑，共享分支减少门电路冗余。,全加器/减器及沿直角、曲线路径运动的机器人。,存在电路及外部驱动；论文的密度指标不能直接跨硬件架构比较。
C9,2025,Nature Communications,General-purpose mechanical computing enabled by origami circuit reconfiguration with robotic addressing and activation,10.1038/s41467-025-65464-x,https://doi.org/10.1038/s41467-025-65464-x,控制与机器人集成,A：直接计算/记忆/反馈,研究论文,MPGA 把逻辑化简结果映射到双稳态折纸导电开关阵列，以机器人寻址重配置。,逻辑阵列激活、存储接口与运算复用演示。,机械、电路、寻址机器人共同构成系统；不是材料独立完成全部计算。
C10,2026,Nature Communications,Reprogrammable metamaterial robot with embodied versatile computation and mechanical intelligence,10.1038/s41467-026-71368-1,https://doi.org/10.1038/s41467-026-71368-1,控制与机器人集成,A：直接计算/记忆/反馈,研究论文,用弹性波的空间变换及结构重编程实现模拟运算，并与机器人动作连接。,微分、积分、卷积等运算和爬行机器人演示。,须区分波运算、电子激励与运动控制的贡献；类量子表示不等于量子计算。
D1,2020,Science Advances,A Bayesian experimental autonomous researcher for mechanical design,10.1126/sciadv.aaz1708,https://doi.org/10.1126/sciadv.aaz1708,设计算法,C：相邻设计方法,研究论文,贝叶斯优化调度制造与实体测试，从昂贵实验中搜索机械设计。,自动实验平台优化参数化结构的机械性能。,是形态设计的算法工具，未证明身体执行感知、记忆或控制计算。
R1,2024,Nature Computational Science,Programmable responsive metamaterials for mechanical computing and robotics,10.1038/s43588-024-00673-w,https://doi.org/10.1038/s43588-024-00673-w,综述与观点,背景,Perspective,梳理响应超材料的机械计算、机器人应用及计算设计问题。,适合作为结构逻辑与控制部分的概念入口。,观点文章，不作为新增硬件实验。
R2,2024,Nature Electronics,Physical reservoir computing with emerging electronics,10.1038/s41928-024-01133-z,https://doi.org/10.1038/s41928-024-01133-z,综述与观点,背景,Review,梳理物理储备池电子实现、读出与性能评估。,可借用记忆、非线性、训练和资源核算的方法。,电子物理计算不自动属于机器人形态计算。
R3,2026,Nature Communications,Embodying physical computing into soft robots,10.1038/s41467-026-70866-6,https://doi.org/10.1038/s41467-026-70866-6,综述与观点,背景,Perspective,整理物理计算进入软体机器人的路径，包括振荡、储备池与算法式控制。,适合统摄感知—记忆—控制的组织框架。,观点文章；与同题早期预印本去重，采用正式发表版本。
